"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","19","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_007 边界-pageSize=0","{tc.description}"
"failed","Mon Jul 27 15:46:54 CST 2026","Mon Jul 27 15:46:54 CST 2026","27","testcases.modules.coordination","test_unit_login","TestUnitLogin","","","TC_LOGIN_005 异常登录-空账号","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","22","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_007 边界-pageSize=0","{tc.description}"
"failed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","19","testcases.modules.coordination","test_unit_register","TestUnitRegister","","","TC_REG_012 异常注册-SQL注入","{tc.description}"
"passed","Mon Jul 27 15:46:57 CST 2026","Mon Jul 27 15:46:58 CST 2026","27","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_008 边界-负数分页","{tc.description}"
"passed","Mon Jul 27 15:46:57 CST 2026","Mon Jul 27 15:46:57 CST 2026","37","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_003 最小页大小-pageSize=1","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","28","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_001 基础查询-默认分页","{tc.description}"
"passed","Mon Jul 27 15:46:58 CST 2026","Mon Jul 27 15:46:58 CST 2026","170","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_010 动态过滤-按合作单位","{tc.description}"
"passed","Mon Jul 27 15:46:57 CST 2026","Mon Jul 27 15:46:57 CST 2026","32","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_007 边界-pageSize=0","{tc.description}"
"failed","Mon Jul 27 15:46:57 CST 2026","Mon Jul 27 15:46:57 CST 2026","112","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_006 边界-pageNum超出总页数","{tc.description}"
"failed","Mon Jul 27 15:46:54 CST 2026","Mon Jul 27 15:46:54 CST 2026","24","testcases.modules.coordination","test_unit_login","TestUnitLogin","","","TC_LOGIN_004 异常登录-空密码","{tc.description}"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","31","testcases.modules.safety","test_debar_emp_list","TestDebarEmpList","","","TC_DEM_013 空字符串过滤","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","23","testcases.modules.safety","test_login","TestLogin","","","TC_LOGIN_007 记住我-false","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:57 CST 2026","66","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_009 动态过滤-按企业名称","{tc.description}"
"passed","Mon Jul 27 15:46:54 CST 2026","Mon Jul 27 15:46:54 CST 2026","31","testcases.modules.coordination","test_unit_register","TestUnitRegister","","","TC_REG_002 正常注册-15位营业执照号","{tc.description}"
